Article No,link,title,category,date,author,summary,full_text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,https://www.efsyn.gr/politiki/1402509/ntilian-symplirothikan-oi-ypografes-gia-klisi-toy-sti-voyli-tha-ginei-oti-leei-o-kanonismos-apanta-o-ekprosopos-tis-nd/,"Ντίλιαν: Συμπληρώθηκαν οι υπογραφές για κλήση του στη Βουλή – «Θα γίνει ό,τι λέει ο κανονισμός», απαντά η ΝΔ",Βουλή,"10/06/2026, 14:31",Ολυμπία Λιάτσου,"Σύμφωνα με το άρθρο 43Α του Κανονισμού, «η Επιτροπή μπορεί να καλεί σε ακρόαση λειτουργούς του κράτους, καθώς και οποιοδήποτε δημόσιο πρόσωπο για θέματα που αφορούν στη λειτουργία των θεσμών και της διαφάνειας, η προσέλευση των οποίων είναι υποχρεωτική».","Σύμφωνα με το άρθρο 43Α του Κανονισμού, «η Επιτροπή μπορεί να καλεί σε ακρόαση λειτουργούς του κράτους, καθώς και οποιοδήποτε δημόσιο πρόσωπο για θέματα που αφορούν στη λειτουργία των θεσμών και της διαφάνειας, η προσέλευση των οποίων είναι υποχρεωτική». Παρότι συμπληρώθηκε ο απαιτούμενος αριθμός των 2/5 των μελών της που προβλέπει ο κανονισμός, και καθιστά πλέον υποχρεωτική την κλήση του προς ακρόαση, είναι άγνωστο εάν η Επιτροπή Θεσμών και Διαφάνειας της Βουλής θα καλέσει σε ακρόαση τον επιχειρηματίαΤαλ Ντίλιαν, προκειμένου να δώσει απαντήσεις στο σκάνδαλο τωνυποκλοπώνκαι το παράνομο λογισμικό predator, μετά τα αιτήματα που έχει υποβάλει η αντιπολίτευση. Σύμφωνα με όσα ανέφερε στους κοινοβουλευτικούς συντάκτες ο πρόεδρος της Επιτροπής, Θανάσης Μπούρας, μετά τις 20 Ιουνίου θα διεξαχθεί συνεδρίαση για να συζητηθεί το αίτημα της μειοψηφίας, τονίζοντας πωςθα γίνει ό,τι ορίζει ο Κανονισμός της Βουλής. Σύμφωνα με το άρθρο 43Α του Κανονισμού, «η Επιτροπήμπορείνα καλεί σε ακρόαση λειτουργούς του κράτους, καθώς και οποιοδήποτε δημόσιο πρόσωπο για θέματα που αφορούν στη λειτουργία των θεσμών και της διαφάνειας, η προσέλευση των οποίων είναι υποχρεωτική». Ανοιχτό παραμένει το αν θα κληθεί ο Γρηγόρης Δημητριάδης, καθώςτο αίτημα της Νίκης δεν τον συμπεριέλαβεκαι δεν συγκεντρώνονται για τη δική του περίπτωση τα απαιτούμενα 2/5. Υπενθυμίζεται πως πριν λίγες εβδομάδες το κατώφλι της συγκεκριμένης Επιτροπής πέρασε ο διοικητής της ΕΥΠ Θεμιστοκλής Δεμίρης, ενώ ο απερχόμενος Εισαγγελέας του Αρείου Πάγου, Κωνσταντίνος Τζαβέλλας αρνήθηκε να παρουσιαστεί στην Επιτροπή και έστειλε επιστολή. Είναι σίγουρο ότι η κυβέρνηση θα εξαντλήσει όλες τις πιθανότητες ώστε να αποφύγει την υλοποιήσει του αιτήματος της μειοψηφίας. Απομένει στον κόσμο να βγάλει τα συμπεράσματά του.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,https://www.efsyn.gr/stiles/1402187/press-point-nikita-kaklamani-pare-ta-2-5-kai-kane-ta-3-5/,"Press Point: Νικήτα Κακλαμάνη, πάρε τα 2/5 και κάνε τα 3/5",Απόψεις,"10/06/2026, 09:27",ΕΝΤΥΠΗ ΕΚΔΟΣΗΔημήτρης Κανελλόπουλος,,"Παλεύουν κάποιοι να βρουν άκρη με το θέμα τωνυποκλοπώνκαι έχουμε την κυβέρνηση και τονΆρειο Πάγονα αντιστέκονται με λύσσα. Ψάχνουν διεξόδους, αναζητούν διαδρόμους, παλεύουν για χαραμάδες ώστε να φτάσουν στην αλήθεια, αλλά πέφτουν πάνω στον τοίχο που υψώνουν το μέγαρο Μαξίμου και η ανώτατη Δικαιοσύνη. Α, ναι! Και η Βουλή επίσης. Την ξέχασα αυτή.Τασούλαςπριν καιΝικήτας Κακλαμάνηςτώρα κάνουν το παν για να θάψουν την υπόθεση «υποκλοπές». Από πέρυσι τον Νοέμβριο τα κόμματα της αντιπολίτευσης έχουν ζητήσει από τον πρόεδρο της Βουλής να συγκαλέσει τη Διάσκεψη των Προέδρων της Βουλής ώστε να συζητήσουν για τη στημένη Εξεταστική και αυτός δεν απαντά. Βγαίνει ένας άνθρωπος ενόρκως και λέει ότι η εξεταστική επιτροπή της Βουλής για τις υποκλοπές ήταν στημένη (αφού του είχαν δώσει από πριν του ιδίου τις ερωτήσεις και τις απαντήσεις) και ο πρόεδρος της Βουλής το αφήνει έτσι. Ο Νικήτας Κακλαμάνης έγινε σερβιτόρος του Μητσοτάκη. Τα στερνά τιμούν τα πρώτα. Χθες λοιπόν ο ΣΥΡΙΖΑ κατέθεσε αίτημα στην Επιτροπή Θεσμών και Διαφάνειας της Βουλής για την κλήση προσώπων που έχουν σχέση με τις υποκλοπές. Ένας που καλούν είναι ο ιδιοκτήτης της εταιρείας που πουλάει το Predator, oΤαλ Ντίλιαν. Ένας άλλος είναι ο πρώην διοικητής της ΕΥΠ, Παναγιώτης Κοντολέων. Υπενθυμίζουμε ότι ο Ταλ Ντίλιαν υποστήριξε πως το λογισμικό διατίθεται αποκλειστικά σε κρατικές μυστικές υπηρεσίες («Εφημερίδα των Συντακτών») και ότι υπάρχει συμφωνητικό συνεργασίας με τηνΕΥΠαπό το 2020, όπως και χιλιάδες μέιλ με στελέχη της ΕΥΠ («Βήμα»). Για να κληθούν αυτά τα πρόσωπα πρέπει να συμφωνήσουν τα δύο πέμπτα (2/5) των μελών της Επιτροπής Θεσμών και Διαφάνειας. Νικήτα Κακλαμάνη κάνε κάτι, μπες μπροστά, πρέπει να σώσεις την κατάσταση. Πάρε τα 2/5 και κάνε τα 3/5 να γλιτώσουμε. Να γλιτώσετε δηλαδή.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,https://www.efsyn.gr/kosmos/1401911/tramp-oi-iranoi-katerripsan-to-elikoptero-apache-ofeiloyme-na-apantisoyme/,Τραμπ: «Οι Ιρανοί κατέρριψαν το ελικόπτερο Apache – Οφείλουμε να απαντήσουμε»,Βόρεια Αμερική,"09/06/2026, 19:52",efsyn.gr,Προαναγγελία χτυπήματος από τον Αμερικανό πρόεδρο.,"Προαναγγελία χτυπήματος από τον Αμερικανό πρόεδρο. Επιστρέφει η ανησυχία για νέα ανάφλεξη στη Μέση Ανατολή μετά από το σημερινό μήνυμα του Αμερικανού προέδρου στο Truth Social. ΟΝτόναλντ Τραμπδήλωσε ότι το Ιράν βρίσκεται πίσω από τηνκατάρριψη του ελικοπτέρου Apacheγια να τονίσει ότι οι ΗΠΑ οφείλουν να απαντήσουν και θα απαντήσουν στην επίθεση αυτή. Το μήνυμα του Αμερικανού προέδρου αναφέρει: «μόλις ενημερώθηκα από τις ένοπλες δυνάμεις μας ότι χθες το βράδυ οι Ιρανοί κατέρριψαν ένα από τα υπερσύγχρονα ελικόπτερα Apache μας, ενώ πραγματοποιούσε περιπολία πάνω από το Στενό του Ορμούζ. Εμπλέκονταν δύο πιλότοι, οι οποίοι είναι και οι δύο ασφαλείς και αβλαβείς. Ωστόσο, οι Ηνωμένες Πολιτείες οφείλουν, αναγκαστικά, να ανταποκριθούν σε αυτή την επίθεση. Σας ευχαριστώ για την προσοχή σας στο θέμα αυτό! Πρόεδρος ΝΤΟΝΑΛΝΤ ΤΡΑΜΠ». «Προτιμάμε τη γλώσσα της διπλωματίας, όμως μιλάμε πολύ πιο άπταιστα άλλες γλώσσες. Παραβιάστε τις δεσμεύσεις σας και εμείς θα στραφούμε σε αυτήν που γνωρίζουμε καλύτερα», δήλωσε από την πλευρά του σε ανάρτησή του στο Χ ο επικεφαλής διαπραγματευτής του Ιράν Μοχαμάντ Μπαγέρ Γαλιμπάφ. Παρά το εμπρηστικό μήνυμα του Αμερικανού προέδρου, τα αμερικανικά ΜΜΕ αναφέρουν πως επισήμως δεν έχουν βγει σαφή συμπεράσματα για το εάν το ελικόπτερο καταρρίφθηκε ή συνετρίβη. Οι αναφορές έκαναν λόγο για πτώση του Apache στα Στενά του Ορμούζ, με τους πιλότους να είναι καλά στην υγεία τους. Το περιστατικό σημειώθηκε αφού το Ιράν και το Ισραήλ ανακοίνωσαν ότι αναστέλλουν τις εχθροπραξίες έπειτα από αίτημα του Τραμπ. Ωστόσο η Τεχεράνη προειδοποίησε ότι θα επαναλάβει τα πλήγματά της εναντίον του Ισραήλ, αν ο ισραηλινός στρατός συνεχίσει τις επιθέσεις του στον Λίβανο. «Προτιμάμε τη γλώσσα της διπλωματίας, όμως μιλάμε πολύ πιο άπταιστα άλλες γλώσσες. Παραβιάστε τις δεσμεύσεις σας και εμείς θα στραφούμε σε αυτήν που γνωρίζουμε καλύτερα»… Τι άλλη απάντηση να δώσει κάποιος που εκπροσωπεί την πάλαι ποτέ Περσία όπου εκεί αναπτύχθηκε το Σκάκι;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,https://www.efsyn.gr/politiki/1401961/epimenei-o-floridis-gia-tis-ypoklopes-den-yparhei-emploki-kratikon-ypiresion/,Επιμένει ο Φλωρίδης για τις υποκλοπές: «Δεν υπάρχει εμπλοκή κρατικών υπηρεσιών»,Παρασκήνια,"09/06/2026, 18:46",efsyn.gr,Υποστηρίζει εκ νέου ότι η Δικαιοσύνη «ερεύνησε όλα τα ζητήματα και κατέληξε σε ποινικές ευθύνες ιδιωτών».,"Υποστηρίζει εκ νέου ότι η Δικαιοσύνη «ερεύνησε όλα τα ζητήματα και κατέληξε σε ποινικές ευθύνες ιδιωτών». Τις έντονες αντιδράσεις της αντιπολίτευσης έχουν προκαλέσειοι τελευταίες εξελίξεις σχετικά με το σκάνδαλο των υποκλοπών, σε σημείο που τα κόμματαζητούν επιτακτικά από την κυβέρνηση Μητσοτάκη να έρθει το θέμα στη Βουλή. Ωστόσο, ο αρμόδιος υπουργός ΔικαιοσύνηςΓιώργος Φλωρίδηςεπαναλαμβάνει μονότονα πως η Δικαιοσύνη έχει αποφασίσει και πως δεν υπάρχει κρατική εμπλοκή, αλλά μόνο ευθύνη ιδιωτών. Σε ανάλογες δηλώσεις προέβη και στη συνέντευξη που έδωσε στα Παραπολιτικά 90,1. Εκεί, ο υπουργός ανέφερε χαρακτηριστικά πως «για το θέμα αυτό το 2022 έγινε εκτεταμένη έρευνα από τον αντιεισαγγελέα του Αρείου Πάγου τότε, η οποία ερεύνησε όλα τα ζητήματα και εντόπισε ποινικές ευθύνες ιδιωτών τους οποίους παρέπεμψε στο αρμόδιο δικαστήριο. Εκείνο το πόρισμα οδήγησε τους όποιους ιδιώτες έκρινε ότι πρέπει να εξεταστούν οι ποινικές τους ευθύνες στο αρμόδιο δικαστήριο και επίσης έκρινε ότι δεν υπάρχει εμπλοκή κρατικών υπηρεσιών και αρχειοθέτησε την υπόθεση. Ό,τι προκύπτει ένας είναι ο δρόμος, αυτός που ακολουθήθηκε μέχρι τώρα». Στο ερώτημα εάν υπήρξε συνεργασία ανάμεσα στην ΕΥΠ και την Intelexa, ο υπουργός υποστήριξε: «Από την ώρα που η υπόθεση αυτή εν τω συνόλω της βρίσκεται στα χέρια της Δικαιοσύνης αρμόδια είναι η Δικαιοσύνη. Γιατί και οποιοσδήποτε άλλος διερευνήσει κάτι πάλι το πόρισμά του στην Δικαιοσύνη θα το στείλει, η Δικαιοσύνη θα το αξιολογήσει». Όσο για το εάν υπάρχει πολιτική ευθύνη, επανέλαβε: «Η εισαγγελική έρευνα έδειξε ότι διαπιστώθηκαν ποινικές ευθύνες ιδιωτών κι αυτοί οδηγήθηκαν στο δικαστήριο, και η έρευνα του εισαγγελέα κατέδειξε ότι εμπλοκή κρατικών υπηρεσιών σε παράνομα ζητήματα δεν υπάρχει. Αυτά είναι τα μέχρι στιγμής αποτελέσματα της Δικαιοσύνης όποιος νομίζει ότι έχει κάτι άλλο η Δικαιοσύνη είναι εκεί και τον περιμένει». Ναι, ατομική ευθύνη και οι κοριοί, η κυβέρνηση απλώς υπάρχει. Ιδιώτες παρακολουθούσαν τον αρχηγό Στρατού και τους μισούς υπουργούς, η ΕΥΠ δεν γνώριζε τίποτα αλλά αυτό δεν μας νοιάζει.Πάντως το πρόβλημα είναι στην τελευταία πρόταση του άρθρου. Η Δικαιοσύνη είναι εκεί και τον περιμένει… για να τον πάει στο αρχείο..? Σαν  πας  στην  Καλαματα  , στα  κρυα  τα  νερα,  φερε μου  ενα  μαντιλι..μπλα  μπλα",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
